Date,Portfolio,Return,"Rolling VaR (95%, 252D)","Rolling ES (95%, 252D)",VaR Breach,Loss Exceeds ES,Model
2025-04-14,Equal Weighted Portfolio,0.0033068518638537,0.0639421023702755,0.0870686850442168,False,False,EWMA-t
2025-04-14,Equal Weighted Portfolio,0.0033068518638537,0.0762039374908056,0.1077392557433392,False,False,GARCH-t
2025-04-15,Equal Weighted Portfolio,-0.0049904616734107,0.0316218795347126,0.0411707455129106,False,False,Historical VaR
2025-04-15,Equal Weighted Portfolio,-0.0049904616734107,0.0620078057104429,0.0844347918750217,False,False,EWMA-t
2025-04-15,Equal Weighted Portfolio,-0.0049904616734107,0.0708837869069106,0.1002781733760833,False,False,GARCH-t
2025-04-16,Equal Weighted Portfolio,-0.0387170558228206,0.0316218795347126,0.0411707455129106,True,False,Historical VaR
2025-04-16,Equal Weighted Portfolio,-0.0387170558228206,0.0601508206511175,0.0819061723697396,False,False,EWMA-t
2025-04-16,Equal Weighted Portfolio,-0.0387170558228206,0.0660520764745067,0.0935020889509499,False,False,GARCH-t
2025-04-17,Equal Weighted Portfolio,-0.0097391907133887,0.0325714217581639,0.0416619274964581,False,False,Historical VaR
2025-04-17,Equal Weighted Portfolio,-0.0097391907133887,0.0602730880412573,0.0820726614354512,False,False,EWMA-t
2025-04-17,Equal Weighted Portfolio,-0.0097391907133887,0.0653796516673254,0.092559067359164,False,False,GARCH-t
2025-04-21,Equal Weighted Portfolio,-0.028307248324662,0.0325714217581639,0.0416619274964581,False,False,Historical VaR
2025-04-21,Equal Weighted Portfolio,-0.028307248324662,0.0585622966459166,0.0797431109256056,False,False,EWMA-t
2025-04-21,Equal Weighted Portfolio,-0.028307248324662,0.0611677996017263,0.0866522843302661,False,False,GARCH-t
2025-04-22,Equal Weighted Portfolio,0.0275837395043398,0.0325714217581639,0.0416619274964581,False,False,Historical VaR
2025-04-22,Equal Weighted Portfolio,0.0275837395043398,0.0578591856907049,0.0787856987661498,False,False,EWMA-t
2025-04-22,Equal Weighted Portfolio,0.0275837395043398,0.0592867638441882,0.0840142832997633,False,False,GARCH-t
2025-04-23,Equal Weighted Portfolio,0.0302528956580817,0.0325714217581639,0.0416619274964581,False,False,Historical VaR
2025-04-23,Equal Weighted Portfolio,0.0302528956580817,0.0571356823228308,0.0778005186652349,False,False,EWMA-t
2025-04-23,Equal Weighted Portfolio,0.0302528956580817,0.0568766717889098,0.0806343234558567,False,False,GARCH-t
2025-04-24,Equal Weighted Portfolio,0.0291587723447807,0.0318616112561726,0.0416619274964581,False,False,Historical VaR
2025-04-24,Equal Weighted Portfolio,0.0291587723447807,0.0566582029096344,0.0771503444748095,False,False,EWMA-t
2025-04-24,Equal Weighted Portfolio,0.0291587723447807,0.0550924636137075,0.0781321153048668,False,False,GARCH-t
2025-04-25,Equal Weighted Portfolio,0.0174043841840858,0.0318616112561726,0.0416619274964581,False,False,Historical VaR
2025-04-25,Equal Weighted Portfolio,0.0174043841840858,0.0561161778799515,0.0764122798062088,False,False,EWMA-t
